title,description,link,image
Simple News Assembly Platform: A CMS built for the newsroom,,http://www.niemanlab.org/2016/08/the-los-angeles-times-built-its-own-journalist-friendly-story-editor-and-its-now-rolling-out-to-all-of-tronc/,thumb_snap.jpg
Shooters in San Bernardino massacre seemed to be living the 'American Dream',,http://graphics.latimes.com/san-bernardino-shooting/,thumb_san_bernardino.jpg
These are the 749 inmates awaiting execution on California's death row,,http://www.latimes.com/projects/la-me-death-row/,thumb_death_row.jpg
